id,KindID,Name,SortOrder,IsActive
907,65,Функциональные особенности,4270,1
908,65,Размеры и вес,4178,1
909,67,Общая информация,2218,1
910,67,Основные,1534,1
911,68,Общая информация,2218,1
912,68,Основные,1534,1
913,68,Технические характеристики,3392,1
914,68,Конструкция,3773,1
915,68,Размеры и вес,4178,1
916,68,Комплектация,5892,1
917,70,Общая информация,2218,1
918,70,Основные,1534,1
919,71,Общая информация,2218,1
920,71,Основные,1534,1
921,71,Технические характеристики,3392,1
922,71,Функции системы,4000,1
923,71,Турботаймер и автозапуск двигателя,5000,1
924,71,Функции системы GSM,6000,1
925,71,Комплектация,5892,1
926,71,Программируемые функции,8000,1
927,71,Функции брелока,9000,1
928,73,Основные,1534,1
929,60,Основные,1534,1
930,60,Общая информация,2218,1
931,60,Конструкция,3773,1
932,60,Размеры и вес,4178,1
933,60,"Возможно, вас заинтересует",3583,1
934,74,Общая информация,2218,1
935,74,Основные,1534,1
936,74,Размеры и вес,4178,1
937,75,Основные,1534,1
938,75,Общая информация,2218,1
939,76,Общая информация,2218,1
940,76,Основные,1534,1
941,77,Основные,1534,1
942,77,Габариты,7600,1
943,77,Общая информация,2218,1
944,78,Основные,1534,1
945,78,Размеры и вес,4178,1
946,78,Общая информация,2218,1
947,79,Основные,1534,1
948,79,Общая информация,2218,1
949,79,Комплектация,5892,1
950,81,Основные,1534,1
951,81,Общая информация,2218,1
952,81,Размеры и вес,4178,1
953,81,Комплектация,5892,1
954,82,Общая информация,2218,1
955,82,Основные,1534,1
956,83,Основные,1534,1
957,83,Общая информация,2218,1
958,83,Размеры и вес,4178,1
959,84,Общая информация,2218,1
960,84,Основные,1534,1
961,85,Основные,1534,1
962,86,Основные,1534,1
963,86,Общая информация,2218,1
964,87,Основные,1534,1
